item_id	title	entry_point	inputs	outputs	analysis_unit	environment	status
Figure1A	Figure 1A. Multi-omics framework reveals the spatial landscape of CRLM.	none	See figures/Figure1/README.md	See figures/Figure1/README.md	study-level	none	assembled
Figure1B	Figure 1B. Multi-omics framework reveals the spatial landscape of CRLM.	figures/Figure1/01_plot_treatment_rfs.R	See figures/Figure1/README.md	See figures/Figure1/README.md	patient	imc	executable
Figure1C	Figure 1C. Multi-omics framework reveals the spatial landscape of CRLM.	none	See figures/Figure1/README.md	See figures/Figure1/README.md	marker	none	assembled
Figure1D	Figure 1D. Multi-omics framework reveals the spatial landscape of CRLM.	none	See figures/Figure1/README.md	See figures/Figure1/README.md	cell/ROI	none	assembled
Figure2A	Figure 2A. Cellular composition of CRLM is associated with recurrence.	none	See figures/Figure2/README.md	See figures/Figure2/README.md	workflow	none	assembled
Figure2B	Figure 2B. Cellular composition of CRLM is associated with recurrence.	figures/Figure2/01_plot_cell_subpopulation_heatmap.R	See figures/Figure2/README.md	See figures/Figure2/README.md	cell subtype	imc	executable
Figure2C	Figure 2C. Cellular composition of CRLM is associated with recurrence.	none	See figures/Figure2/README.md	See figures/Figure2/README.md	patient	none	documented
Figure2D	Figure 2D. Cellular composition of CRLM is associated with recurrence.	figures/Figure2/03_analyze_treatment_stratified_abundance.R	See figures/Figure2/README.md	See figures/Figure2/README.md	patient-tissue	imc	executable
Figure3A	Figure 3A. Cellular neighborhood patterns in tumor core and invasive margin.	none	See figures/Figure3/README.md	See figures/Figure3/README.md	workflow	none	assembled
Figure3B	Figure 3B. Cellular neighborhood patterns in tumor core and invasive margin.	figures/Figure3/01_cellular_neighborhoods.R	See figures/Figure3/README.md	See figures/Figure3/README.md	cell/ROI/patient	imc	executable
Figure3C	Figure 3C. Cellular neighborhood patterns in tumor core and invasive margin.	figures/Figure3/01_cellular_neighborhoods.R	See figures/Figure3/README.md	See figures/Figure3/README.md	cell/ROI/patient	imc	executable
Figure3D	Figure 3D. Cellular neighborhood patterns in tumor core and invasive margin.	figures/Figure3/01_cellular_neighborhoods.R	See figures/Figure3/README.md	See figures/Figure3/README.md	cell/ROI/patient	imc	executable
Figure3E	Figure 3E. Cellular neighborhood patterns in tumor core and invasive margin.	figures/Figure3/01_cellular_neighborhoods.R	See figures/Figure3/README.md	See figures/Figure3/README.md	cell/ROI/patient	imc	executable
Figure3F	Figure 3F. Cellular neighborhood patterns in tumor core and invasive margin.	figures/Figure3/01_cellular_neighborhoods.R	See figures/Figure3/README.md	See figures/Figure3/README.md	cell/ROI/patient	imc	executable
Figure4A	Figure 4A. Associations between cholangiocyte-associated peritumor niches and treatment-stratified RFS in CRLM.	figures/Figure4/01_methods_aligned_orchestration.R	See figures/Figure4/README.md	See figures/Figure4/README.md	cell/ROI	imc	partial
Figure4B	Figure 4B. Associations between cholangiocyte-associated peritumor niches and treatment-stratified RFS in CRLM.	figures/Figure4/01_methods_aligned_orchestration.R	See figures/Figure4/README.md	See figures/Figure4/README.md	cell/ROI	imc	partial
Figure4C	Figure 4C. Associations between cholangiocyte-associated peritumor niches and treatment-stratified RFS in CRLM.	none	See figures/Figure4/README.md	See figures/Figure4/README.md	image/ROI	none	assembled
Figure4D	Figure 4D. Associations between cholangiocyte-associated peritumor niches and treatment-stratified RFS in CRLM.	figures/Figure4/03_plot_epithelial_identity.R	See figures/Figure4/README.md	See figures/Figure4/README.md	cell/ROI/patient	imc	partial
Figure4E	Figure 4E. Associations between cholangiocyte-associated peritumor niches and treatment-stratified RFS in CRLM.	none	See figures/Figure4/README.md	See figures/Figure4/README.md	conceptual	none	assembled
Figure4F	Figure 4F. Associations between cholangiocyte-associated peritumor niches and treatment-stratified RFS in CRLM.	figures/Figure4/01_methods_aligned_orchestration.R	See figures/Figure4/README.md	See figures/Figure4/README.md	PTME	imc	partial
Figure4G	Figure 4G. Associations between cholangiocyte-associated peritumor niches and treatment-stratified RFS in CRLM.	none	See figures/Figure4/README.md	See figures/Figure4/README.md	image/ROI	none	assembled
Figure4H	Figure 4H. Associations between cholangiocyte-associated peritumor niches and treatment-stratified RFS in CRLM.	figures/Figure4/01_methods_aligned_orchestration.R	See figures/Figure4/README.md	See figures/Figure4/README.md	ROI/patient	imc	partial
Figure4I	Figure 4I. Associations between cholangiocyte-associated peritumor niches and treatment-stratified RFS in CRLM.	figures/Figure4/01_methods_aligned_orchestration.R	See figures/Figure4/README.md	See figures/Figure4/README.md	patient	imc	partial
Figure4J	Figure 4J. Associations between cholangiocyte-associated peritumor niches and treatment-stratified RFS in CRLM.	none	See figures/Figure4/README.md	See figures/Figure4/README.md	conceptual	none	assembled
Figure5A	Figure 5A. SpMap translates spatial proteomic labels to H&E images.	figures/Figure5/02_run_spmap_workflow.py	See figures/Figure5/README.md	See figures/Figure5/README.md	workflow	spmap	partial
Figure5B	Figure 5B. SpMap translates spatial proteomic labels to H&E images.	figures/Figure5/01_prepare_panel_b_counts.py; figures/Figure5/04_plot_panel_b_counts.py	See figures/Figure5/README.md	See figures/Figure5/README.md	tile/parent group	spmap	partial
Figure5C	Figure 5C. SpMap translates spatial proteomic labels to H&E images.	figures/Figure5/02_run_spmap_workflow.py	See figures/Figure5/README.md	See figures/Figure5/README.md	workflow	spmap	partial
Figure6A	Figure 6A. SpMap-derived ISR stratifies recurrence risk after adjuvant therapy in CRLM.	none	See figures/Figure6/README.md	See figures/Figure6/README.md	patient disposition	none	documented
Figure6B	Figure 6B. SpMap-derived ISR stratifies recurrence risk after adjuvant therapy in CRLM.	figures/Figure6/02_cohort_and_rfs.R; figures/Figure6/03_prepare_public_isr_tables.py	See figures/Figure6/README.md	See figures/Figure6/README.md	patient	imc	executable
Figure6C	Figure 6C. SpMap-derived ISR stratifies recurrence risk after adjuvant therapy in CRLM.	figures/Figure6/02_cohort_and_rfs.R; figures/Figure6/03_prepare_public_isr_tables.py	See figures/Figure6/README.md	See figures/Figure6/README.md	patient	imc	executable
Figure6D	Figure 6D. SpMap-derived ISR stratifies recurrence risk after adjuvant therapy in CRLM.	figures/Figure6/02_cohort_and_rfs.R; figures/Figure6/03_prepare_public_isr_tables.py	See figures/Figure6/README.md	See figures/Figure6/README.md	patient	imc	executable
Figure6E	Figure 6E. SpMap-derived ISR stratifies recurrence risk after adjuvant therapy in CRLM.	figures/Figure6/04_continuous_isr_multivariable_cox.R	See figures/Figure6/README.md	See figures/Figure6/README.md	patient	imc	executable
Figure6F	Figure 6F. SpMap-derived ISR stratifies recurrence risk after adjuvant therapy in CRLM.	figures/Figure6/04_continuous_isr_multivariable_cox.R	See figures/Figure6/README.md	See figures/Figure6/README.md	patient	imc	executable
Figure7A	Figure 7A. Spatial transcriptomics identifies molecular programs associating PIR and PSM niches.	none	See figures/Figure7/README.md	See figures/Figure7/README.md	workflow	none	assembled
Figure7B	Figure 7B. Spatial transcriptomics identifies molecular programs associating PIR and PSM niches.	figures/Figure7/01_integrate_annotate_scrna.py; figures/Figure7/05_plot_public_scrna_annotations.py	See figures/Figure7/README.md	See figures/Figure7/README.md	cell	scrna	partial
Figure7C	Figure 7C. Spatial transcriptomics identifies molecular programs associating PIR and PSM niches.	figures/Figure7/03_map_spmap_plot_composition.R	See figures/Figure7/README.md	See figures/Figure7/README.md	spot/image	st_spatial	partial
Figure7D	Figure 7D. Spatial transcriptomics identifies molecular programs associating PIR and PSM niches.	figures/Figure7/02_run_rctd.R; figures/Figure7/03_map_spmap_plot_composition.R	See figures/Figure7/README.md	See figures/Figure7/README.md	spot	st_spatial	partial
Figure7E	Figure 7E. Spatial transcriptomics identifies molecular programs associating PIR and PSM niches.	figures/Figure7/02_run_rctd.R; figures/Figure7/03_map_spmap_plot_composition.R	See figures/Figure7/README.md	See figures/Figure7/README.md	spot	st_spatial	partial
Figure7F	Figure 7F. Spatial transcriptomics identifies molecular programs associating PIR and PSM niches.	figures/Figure7/04_run_deg_gsea.R	See figures/Figure7/README.md	See figures/Figure7/README.md	spot	st_gsea	partial
Figure7G	Figure 7G. Spatial transcriptomics identifies molecular programs associating PIR and PSM niches.	figures/Figure7/04_run_deg_gsea.R	See figures/Figure7/README.md	See figures/Figure7/README.md	gene set	st_gsea	partial
Figure7H	Figure 7H. Spatial transcriptomics identifies molecular programs associating PIR and PSM niches.	figures/Figure7/04_run_deg_gsea.R	See figures/Figure7/README.md	See figures/Figure7/README.md	gene set	st_gsea	partial
SupplementaryFigure1	Supplementary Figure 1. Spatial characterization of CRLM across tissue regions.	none	See owning Figure README	See owning Figure README	image/ROI	none	assembled
SupplementaryFigure2	Supplementary Figure 2. Representative IMC marker images for cell type annotation in CRLM.	none	See owning Figure README	See owning Figure README	image/marker	none	assembled
SupplementaryFigure3	Supplementary Figure 3. Cellular composition varies across CRLM tissue regions.	figures/Figure2/02_plot_tissue_composition.R	See owning Figure README	See owning Figure README	tissue/ROI/patient	imc	executable
SupplementaryFigure4	Supplementary Figure 4. Associations between IM cell abundance and clinical variables by treatment.	figures/Figure2/03_analyze_treatment_stratified_abundance.R	See owning Figure README	See owning Figure README	patient-tissue	imc	executable
SupplementaryFigure5	Supplementary Figure 5. Associations between TC cell abundance and clinical variables by treatment.	figures/Figure2/03_analyze_treatment_stratified_abundance.R	See owning Figure README	See owning Figure README	patient-tissue	imc	executable
SupplementaryFigure6	Supplementary Figure 6. Pairwise cell-cell interaction patterns across CRLM regions.	figures/Figure3/supplementary/FigureS6/00_generate_interaction_pvalues.R; figures/Figure3/supplementary/FigureS6/01_pairwise_interactions.R	See owning Figure README	See owning Figure README	ROI	imc	executable
SupplementaryFigure7	Supplementary Figure 7. Spatial visualization of CNs in CRLM.	none	See owning Figure README	See owning Figure README	ROI	none	documented
SupplementaryFigure8	Supplementary Figure 8. Peritumoral cellular neighborhood abundance differs by recurrence status within treatment groups.	figures/Figure4/01_methods_aligned_orchestration.R	See owning Figure README	See owning Figure README	cell/ROI	imc	partial
SupplementaryFigure9	Supplementary Figure 9. Quantitative features of cholangiocyte-centered peritumor microenvironments.	figures/Figure4/01_methods_aligned_orchestration.R; figures/Figure4/03_plot_epithelial_identity.R; figures/Figure4/04_plot_ptme_isr_panels.R	See owning Figure README	See owning Figure README	cell/PTME/ROI/patient	imc	partial
SupplementaryFigure10	Supplementary Figure 10. Representative PIR- and PSM-Niches in peritumoral region of CRLM.	none	See owning Figure README	See owning Figure README	image/ROI	none	assembled
SupplementaryFigure11	Supplementary Figure 11. Internal evaluation of SpMap and patient-level comparison of IMC-derived and H&E-derived ISR.	figures/Figure5/supplementary/FigureS11/01_plot_fold_holdout_metrics.R; figures/Figure5/supplementary/FigureS11/02_plot_oof_class_metrics.py; figures/Figure5/supplementary/FigureS11/03_plot_isr_correlation.py; figures/Figure5/03_prepare_public_spmap_artifacts.py	See owning Figure README	See owning Figure README	tile/model/patient	imc; spmap	executable
SupplementaryFigure12	Supplementary Figure 12. SpMap predictions on whole-slide H&E images.	none	See owning Figure README	See owning Figure README	WSI	none	documented
SupplementaryFigure13	Supplementary Figure 13. SpMap-derived ISR stratifies overall survival in CRLM.	none	See owning Figure README	See owning Figure README	patient	none	documented
SupplementaryFigure14	Supplementary Figure 14. Treatment-stratified recurrence associations of ISR and pathology-based models.	none	See owning Figure README	See owning Figure README	patient	none	documented
SupplementaryFigure15	Supplementary Figure 15. Cell subpopulation annotation in single-cell transcriptomics data.	figures/Figure7/01_integrate_annotate_scrna.py; figures/Figure7/05_plot_public_scrna_annotations.py	See owning Figure README	See owning Figure README	cell	scrna	partial
SupplementaryFigure16	Supplementary Figure 16. Cell communication patterns associated with cholangiocyte states and peritumor niches.	figures/Figure7/supplementary/FigureS16/01_run_plot_cellchat.R	See owning Figure README	See owning Figure README	cell group/interaction	cellchat	partial
SupplementaryFigure17	Supplementary Figure 17. SpMap niche predictions on spatial transcriptomics slides.	figures/Figure7/03_map_spmap_plot_composition.R	See owning Figure README	See owning Figure README	spot/image	st_spatial	partial
SupplementaryFigure18	Supplementary Figure 18. Cellular composition of predicted niches in spatial transcriptomics data.	figures/Figure7/03_map_spmap_plot_composition.R	See owning Figure README	See owning Figure README	spot	st_spatial	partial
SupplementaryTable1	Supplementary Table 1. Patient-level clinical and pathological characteristics of the IMC cohort.	zenodo:supplementary_tables/Supplementary_Tables_public.xlsx	Supplementary_Tables_public.xlsx	Supplementary Table 1	patient	none	data_only
SupplementaryTable2	Supplementary Table 2. Tissue and patient information for regions of interest (ROIs).	zenodo:supplementary_tables/Supplementary_Tables_public.xlsx	Supplementary_Tables_public.xlsx	Supplementary Table 2	ROI	none	data_only
SupplementaryTable3	Supplementary Table 3. Antibodies and acquisition channels used in this study.	zenodo:supplementary_tables/Supplementary_Tables_public.xlsx	Supplementary_Tables_public.xlsx	Supplementary Table 3	marker/channel	none	data_only
SupplementaryTable4	Supplementary Table 4. Antibodies used for immunofluorescence staining.	zenodo:supplementary_tables/Supplementary_Tables_public.xlsx	Supplementary_Tables_public.xlsx	Supplementary Table 4	reagent	none	data_only
SupplementaryTable5	Supplementary Table 5. Patient-level clinical characteristics of the independent H&E test cohort.	none	Independent H&E test-cohort record	Supplementary Table 5 manuscript record	patient	none	documented
