release_path	source_path	classification	manuscript_relation	inputs	outputs	decision	notes
figures/Figure2/01_plot_cell_subpopulation_heatmap.R	3. clustering_2025.r:406-557	current	Figure2	FDZS-1 processed IMC object	Figure 2 and Supplementary Figures 3-5 tables/PDFs	release	cell-subpopulation heatmap
figures/Figure2/02_plot_tissue_composition.R	4. abundance_2025.r:39-203	current	Figure2	FDZS-1 processed IMC object	Figure 2 and Supplementary Figures 3-5 tables/PDFs	release	tissue-composition plots
figures/Figure2/03_analyze_treatment_stratified_abundance.R	4. abundance_2025.r:365-711; abundance_functions.r:1042-1129,1148-1275	current	Figure2	FDZS-1 processed IMC object	Figure 2 and Supplementary Figures 3-5 tables/PDFs	release	treatment-stratified abundance analysis
figures/Figure3/01_cellular_neighborhoods.R	6. CN_2025.r; 7. Peritumor_2025_functions.r	current	Figure3	FDZS-1 processed IMC object; permutation-result tables	Figure 3 and Supplementary Figure 6 tables/PDFs	release	cellular-neighborhood analysis
figures/Figure3/supplementary/FigureS6/00_generate_interaction_pvalues.R	5. spatial analysis_2025.r; 7. Peritumor_2025_functions.r	current	Figure3	FDZS-1 processed IMC object	ROI ClosePvalue.csv matrices	release	pairwise-interaction permutation producer
figures/Figure3/supplementary/FigureS6/01_pairwise_interactions.R	5. spatial analysis_2025.r; permutation-result tables	current	Figure3	FDZS-1 processed IMC object; permutation-result tables	Figure 3 and Supplementary Figure 6 tables/PDFs	release	pairwise-interaction plots
figures/Figure4/01_methods_aligned_orchestration.R	release implementation	implementation	Figure4	FDZS-1 processed IMC object	CN, PTME, and ISR tables	release	Figure 4 table generation
figures/Figure5/01_prepare_panel_b_counts.py	release implementation	implementation	Figure5	tile and split manifests	Figure 5B count table	release	training-count summary
figures/Figure5/02_run_spmap_workflow.py	release implementation	implementation	Figure5	registered structures/ROIs; tile images; CONCH resources; grouped manifests; WSI images	SpMap manifests, paired features, fold checkpoints/metrics, WSI predictions, and WSI ISR tables	release	SpMap workflow orchestration
figures/Figure5/supplementary/FigureS11/01_plot_fold_holdout_metrics.R	14_plot_supplementary_figure_11.R	current	Figure5	fold-validation and holdout metric tables	Supplementary Figure 11A tables/PDF	release	fold and holdout metrics
figures/Figure5/supplementary/FigureS11/02_plot_oof_class_metrics.py	summarize_config.py; summarize_repeated_seeds.py; plot_comment12_performance_panels.py	current	Figure5	four-class confusion and class-metric tables	Supplementary Figure 11B-C tables/PDFs	release	out-of-fold class metrics
figures/Figure5/supplementary/FigureS11/03_plot_isr_correlation.py	analyze_discovery_isr_pcc.py; plot_patient_isr_correlation.py	current	Figure5	patient-level IMC and H&E ISR tables	Supplementary Figure 11D table/PDF	release	ISR correlation
figures/Figure6/02_cohort_and_rfs.R	12. survival for BDME.r:414-657,1002-1082	current	Figure6	prepared 34-patient discovery and 95-patient test tables	Figure 6B-D tables/PDFs	release	clinical and recurrence-free-survival consumer
figures/Figure7/01_integrate_annotate_scrna.py	1_Integrate_scRNA_data.py; annotation_functions.py	current	Figure7	FDZS-3 MatrixMarket bundle	Figure 7B/S15 outputs and R interoperability bundle	release	scRNA integration and annotation
figures/Figure7/02_run_rctd.R	2_RCTD_deconvolution.r; st_functions.r	current	Figure7	FDZS-3 R bundle; FDZS-4 Bin100 MatrixMarket bundle	rctd_normalized_weights.tsv and spot-level summaries	release	RCTD deconvolution
figures/Figure7/03_map_spmap_plot_composition.R	5_ST_Main.r; st_functions.r	current	Figure7	FDZS-4 Bin100 bundle; registered SpMap tiles; RCTD weights	Figure 7C-E/S17-S18 tables/PDFs	release	SpMap-to-ST mapping and composition
figures/Figure7/04_run_deg_gsea.R	5_ST_Main.r; st_functions.r	current	Figure7	RCTD-intersection spot labels; offline gene-set resources	Figure 7F-H DEG/GSEA tables/PDFs	release	DEG and GSEA
figures/Figure7/supplementary/FigureS16/01_run_plot_cellchat.R	3_SC_Cellchat.r; cellchat_functions.r	current	Figure7	annotated scRNA R bundle	Supplementary Figure 16 tables/PDFs	release	CellChat analysis
src/imc/cellular_neighborhoods.R	7. Peritumor_2025_functions.r	current	shared IMC source	in-memory FDZS-1 fields	reusable IMC tables	release	cellular-neighborhood functions
src/imc/coordinates.R	7. Peritumor_2025_functions.r; 8. BileDuctEnv_2025_functions.r; structural_analysis_functions.r	current	shared IMC source	in-memory FDZS-1 fields	reusable IMC tables	release	coordinate functions
src/imc/ptme.R	8. BileDuctEnv_2025_functions.r; 8. BileDuctEnv_2025_2.r	current	shared IMC source	in-memory FDZS-1 fields	reusable IMC tables	release	PTME functions
src/imc/spatial_interactions.R	7. Peritumor_2025_functions.r	current	shared IMC source	in-memory FDZS-1 fields	reusable IMC tables	release	spatial-interaction functions
src/scrna/annotation.py	1_Integrate_scRNA_data.py; annotation_functions.py	current	shared scRNA source	FDZS-3 MatrixMarket bundle	annotated scRNA objects and tables	release	annotation functions
src/scrna/cellchat.R	3_SC_Cellchat.r; cellchat_functions.r	current	shared scRNA source	annotated scRNA R bundle	CellChat objects and tables	release	CellChat functions
src/scrna/integration.py	1_Integrate_scRNA_data.py; integration_functions.py	current	shared scRNA source	FDZS-3 MatrixMarket bundle	integrated scRNA objects and tables	release	integration functions
src/scrna/interop.py	Deconvolution_functions.py; 2_Cell2location_deconvolution.py	current	shared scRNA source	annotated scRNA object	R interoperability bundle	release	R interoperability functions
src/spmap/conch_features.py	release implementation	interface	shared SpMap source	CONCH model and tile images	paired feature matrices	release	paired CONCH feature extraction
src/spmap/inference.py	09_predict_tiles.py	interface	shared SpMap source	feature matrices and MLP checkpoints	four-class tile probabilities	release	batched inference
